image 1/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\00c9sdfq.jpg: 640x480 1 potholes, 88.8ms
image 77/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0wn7edls.jpg: 448x640 1 potholes, 25.9ms
image 78/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0wsdiq2h.jpg: 448x640 2 potholess, 23.9ms
image 79/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0wxxx4p4.jpg: 640x640 1 potholes, 28.9ms
image 80/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0x9tpmg7.jpg: 640x480 1 potholes, 23.9ms
image 81/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0xej33it.jpg: 352x640 3 potholess, 17.0ms
image 82/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0xj66lys.jpg: 448x640 5 potholess, 20.9ms
image 83/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0xpu8y13.jpg: 640x480 (no detections), 19.9ms
image 84/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0y6ql9yx.jpg: 480x640 (no detections), 21.9ms
image 85/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ya7sch0.jpg: 448x640 5 potholess, 20.9ms
image 86/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0yfazukx.jpg: 352x640 3 potholess, 17.0ms
image 87/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0yfbieot.jpg: 480x640 2 potholess, 21.9ms
image 88/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ylt8zjf.jpg: 480x640 1 potholes, 21.9ms
image 89/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0zv5ywrc.jpg: 448x640 (no detections), 22.9ms
image 90/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1a2boa2x.jpg: 352x640 2 potholess, 18.0ms
image 91/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1agdhww0.jpg: 384x640 (no detections), 17.0ms
image 92/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1aimlwpb.jpg: 448x640 4 potholess, 22.9ms
image 93/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1bi0tk5h.jpg: 384x640 (no detections), 17.0ms
image 94/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1bk7u769.jpg: 384x640 (no detections), 16.0ms
image 95/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1bwzlg1b.jpg: 352x640 1 potholes, 16.0ms
image 96/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1c4l2vda.jpg: 448x640 1 potholes, 20.9ms
image 97/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1c8d4j64.jpg: 448x640 1 potholes, 19.9ms
image 98/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1ceyep8j.jpg: 416x640 1 potholes, 20.9ms
image 99/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1cpegdkj.jpg: 320x640 1 potholes, 71.8ms
image 100/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1cu3802z.jpg: 640x544 2 potholess, 20.9ms
image 101/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1dn781d1.jpg: 480x640 1 potholes, 20.9ms
image 102/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1eaytwgf.jpg: 384x640 11 potholess, 16.0ms
image 103/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1erq9trp.jpg: 448x640 1 potholes, 20.9ms
image 104/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1f1odmgv.jpg: 480x640 1 potholes, 21.9ms
image 105/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1f3jzjjf.jpg: 416x640 2 potholess, 19.9ms
image 106/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1ftc9rkv.jpg: 448x640 1 potholes, 21.9ms
image 107/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1g9yv3hc.jpg: 480x640 1 potholes, 22.9ms
image 108/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1h1d2l6p.jpg: 480x640 1 potholes, 20.9ms
image 109/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1h5rh175.jpg: 544x640 2 potholess, 73.8ms
image 110/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1hsda9ml.jpg: 480x640 (no detections), 21.9ms
image 111/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1i04a6e7.jpg: 640x640 (no detections), 24.9ms
image 112/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1iqwv24m.jpg: 416x640 2 potholess, 19.9ms
image 113/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1j5y0094.jpg: 384x640 2 potholess, 16.0ms
image 114/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1ji7p5g6.jpg: 640x512 2 potholess, 66.5ms
image 115/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1jvo3vd3.jpg: 384x640 1 potholes, 17.0ms
image 116/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1kx4i5wi.jpg: 384x640 (no detections), 15.0ms
image 117/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1l4gnx7t.jpg: 352x640 3 potholess, 17.0ms
image 118/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1l9bt6jl.jpg: 640x640 2 potholess, 24.9ms
image 119/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1lexyb64.jpg: 416x640 1 potholes, 20.9ms
image 120/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1lkcv0gi.jpg: 448x640 2 potholess, 21.9ms
image 121/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1lmvdsf3.jpg: 352x640 2 potholess, 17.0ms
image 122/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1lqlkojl.jpg: 448x640 1 potholes, 20.9ms
image 123/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1m65wixk.jpg: 384x640 4 potholess, 16.0ms
image 124/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1m8nv1sa.jpg: 384x640 1 potholes, 15.0ms
image 125/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1mfshpos.jpg: 384x640 2 potholess, 16.0ms
image 126/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1mk0lg0l.jpg: 384x640 1 potholes, 16.0ms
image 127/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1mnaa3p7.jpg: 416x640 (no detections), 20.9ms
image 128/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1o57x0qq.jpg: 640x480 3 potholess, 20.9ms
image 129/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1og75cxi.jpg: 480x640 1 potholes, 20.9ms
image 130/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1p60mwqt.jpg: 480x640 1 potholes, 19.9ms
image 131/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1pc7fa41.jpg: 640x640 2 potholess, 23.9ms
image 132/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1pridnos.jpg: 448x640 6 potholess, 20.9ms
image 133/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1pux5m9q.jpg: 448x640 2 potholess, 18.9ms
image 134/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1qbe3qg4.jpg: 480x640 2 potholess, 20.9ms
image 135/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1qgkw60u.jpg: 640x480 3 potholess, 95.7ms
image 136/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1qogvcxz.jpg: 448x640 9 potholess, 20.9ms
image 137/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1qt3f6fc.jpg: 576x640 2 potholess, 71.8ms
image 138/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1rkxkvjv.jpg: 640x640 1 potholes, 23.9ms
image 139/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1rnfhayt.jpg: 480x640 2 potholess, 21.9ms
image 140/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1s5wwgyj.jpg: 352x640 3 potholess, 16.0ms
image 141/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1s86ln26.jpg: 384x640 2 potholess, 17.0ms
image 142/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1s902aem.jpg: 480x640 3 potholess, 21.9ms
image 143/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1skodsf2.jpg: 480x640 2 potholess, 21.9ms
image 144/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1tg58hhd.jpg: 448x640 (no detections), 21.9ms
image 145/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1th9iu0b.jpg: 512x640 1 potholes, 21.9ms
image 146/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1tjls5zk.jpg: 448x640 2 potholess, 20.9ms
image 147/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1tkb0yly.jpg: 448x640 5 potholess, 19.9ms
image 148/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1ue22rw9.jpg: 384x640 (no detections), 16.9ms
image 149/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1uw6wtot.jpg: 448x640 2 potholess, 20.9ms
image 150/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1uzk2ia2.jpg: 448x640 (no detections), 18.9ms
image 151/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1vfb24sk.jpg: 384x640 1 potholes, 17.0ms
image 152/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1vmuqc5t.jpg: 640x384 1 potholes, 70.8ms
image 153/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1voor3od.jpg: 640x640 3 potholess, 23.9ms
image 154/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1w6myuwi.jpg: 384x640 1 potholes, 17.0ms
image 155/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1x08id5r.jpg: 640x480 1 potholes, 19.9ms
image 156/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1x9azzbv.jpg: 448x640 2 potholess, 21.9ms
image 157/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1xajfxqp.jpg: 480x640 2 potholess, 20.9ms
image 158/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1xya005c.jpg: 480x640 2 potholess, 19.9ms
image 159/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1yalsl7e.jpg: 384x640 (no detections), 18.9ms
image 160/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1yu6apcb.jpg: 448x640 1 potholes, 20.9ms
image 161/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1zajtf19.jpg: 640x480 (no detections), 20.9ms
image 162/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\1ztujaar.jpg: 480x640 2 potholess, 21.9ms
image 163/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2a5m2nus.jpg: 640x480 3 potholess, 18.9ms
image 164/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2agofj8q.jpg: 448x640 1 potholes, 19.9ms
image 165/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2atnuxv9.jpg: 640x640 3 potholess, 22.9ms
image 166/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2axzbx4n.jpg: 448x640 1 potholes, 21.9ms
image 167/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2b7w9tgf.jpg: 384x640 2 potholess, 16.0ms
image 168/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2bsvr9be.jpg: 384x640 2 potholess, 16.0ms
image 169/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2bwt5b7c.jpg: 384x640 (no detections), 16.0ms
image 170/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2c0dgt6z.jpg: 448x640 1 potholes, 22.9ms
image 171/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2cmd0yno.jpg: 640x640 1 potholes, 27.9ms
image 172/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2ctfz7iu.jpg: 480x640 1 potholes, 26.9ms
image 173/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2d2b2r6i.jpg: 640x640 (no detections), 29.9ms
image 174/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2d6pm7bt.jpg: 640x640 5 potholess, 28.9ms
image 175/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2dxdssi4.jpg: 384x640 1 potholes, 17.0ms
image 176/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2e032at4.jpg: 256x640 4 potholess, 83.8ms
image 177/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2eg528li.jpg: 480x640 2 potholess, 21.0ms
image 178/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2ein1fw2.jpg: 640x640 1 potholes, 23.9ms
image 179/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2eoo94sr.jpg: 448x640 5 potholess, 19.9ms
image 180/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2erxjdk7.jpg: 480x640 1 potholes, 21.9ms
image 181/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2foo3vmw.jpg: 288x640 4 potholess, 70.8ms
image 182/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2goucg83.jpg: 448x640 (no detections), 19.9ms
image 183/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2gwfllzf.jpg: 384x640 6 potholess, 17.0ms
image 184/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2i2qkd4o.jpg: 384x640 (no detections), 16.0ms
image 185/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2icntcqe.jpg: 448x640 1 potholes, 20.9ms
image 186/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2ii6syta.jpg: 352x640 2 potholess, 17.0ms
image 187/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2j8xg4vh.jpg: 352x640 1 potholes, 16.0ms
image 188/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2jfyaeev.jpg: 448x640 5 potholess, 20.9ms
image 189/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2klntr72.jpg: 480x640 1 potholes, 21.9ms
image 190/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2kmb9ja1.jpg: 384x640 1 potholes, 16.0ms
image 191/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2l07dd2a.jpg: 352x640 3 potholess, 16.0ms
image 192/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2l1kgp6h.jpg: 288x640 2 potholess, 16.0ms
image 193/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2l2ltyzm.jpg: 416x640 3 potholess, 20.9ms
image 194/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2lbjtw8v.jpg: 480x640 (no detections), 21.9ms
image 195/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2lmyqp3i.jpg: 416x640 1 potholes, 20.9ms
image 196/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2lvrvk6h.jpg: 448x640 3 potholess, 20.9ms
image 197/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2lykv3b1.jpg: 448x640 1 potholes, 19.9ms
image 198/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2mipfykh.jpg: 480x640 8 potholess, 22.9ms
image 199/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2mwtay7f.jpg: 448x640 1 potholes, 20.9ms
image 200/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2oiw142g.jpg: 480x640 (no detections), 21.9ms
image 201/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2opx9qe9.jpg: 416x640 (no detections), 20.9ms
image 202/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2oze4znd.jpg: 384x640 1 potholes, 18.0ms
image 203/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2p4pwqx9.jpg: 640x640 2 potholess, 23.9ms
image 204/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2q87nyc3.jpg: 480x640 2 potholess, 22.9ms
image 205/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2qi8fhfz.jpg: 448x640 (no detections), 20.9ms
image 206/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2qm0on6f.jpg: 480x640 5 potholess, 21.9ms
image 207/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2sff1ifs.jpg: 480x640 (no detections), 20.9ms
image 208/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2spm4n05.jpg: 480x640 1 potholes, 20.9ms
image 209/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2t1m2qw2.jpg: 576x640 4 potholess, 21.9ms
image 210/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2tdoq251.jpg: 480x640 3 potholess, 21.9ms
image 211/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2u281661.jpg: 640x640 2 potholess, 24.9ms
image 212/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2u5t8wbn.jpg: 448x640 2 potholess, 21.9ms
image 213/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2u9i70i2.jpg: 448x640 4 potholess, 19.9ms
image 214/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2ue88ii6.jpg: 448x640 1 potholes, 20.9ms
image 215/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\2v7vzxzn.jpg: 640x640 1 potholes, 24.9ms
